application_type,case_received_date,decision_date,case_status,class_of_admission,employer_name,employer_city,employer_state,employer_country,foreign_worker_info_birth_country,foreign_worker_info_city,foreign_worker_info_education,foreign_worker_info_state,job_info_work_city,job_info_work_state
ONLINE,05-01-2015,07-08-2015,Certified,H-1B,Sharp Tool Company Inc,Hudson,MASSACHUSETTS,UNITED STATES OF AMERICA,CHINA,SHREWSBURY,Master's,MASSACHUSETTS,Hudson,MASSACHUSETTS
ONLINE,19-02-2015,19-02-2015,Withdrawn,F-1,MCM,IRVING,TEXAS,UNITED STATES OF AMERICA,NEPAL,ARLINGTON,Master's,TEXAS,Little Elm,TEXAS
ONLINE,24-02-2015,11-09-2015,Certified,H-1B,INSTITUTE OF ELECTRICAL & ELECTRONICS ENGINEERS,PISCATAWAY,NEW JERSEY,UNITED STATES OF AMERICA,INDIA,PISCATAWAY,Master's,NEW JERSEY,Piscataway,NEW JERSEY
ONLINE,13-02-2015,01-09-2015,Certified,H-1B,ARNOLD WORLDWIDE,BOSTON,MASSACHUSETTS,UNITED STATES OF AMERICA,CHINA,CAMBRIDGE,Master's,MASSACHUSETTS,Boston,MASSACHUSETTS
ONLINE,23-02-2015,08-09-2015,Certified,H-1B,HAR RIDGEFIELD CORP,RIDGEFIELD,NEW JERSEY,UNITED STATES OF AMERICA,SOUTH KOREA,EAST RUTHERFORD,Bachelor's,NEW JERSEY,Ridgefield,NEW JERSEY
ONLINE,11-03-2015,23-09-2015,Certified,H-1B,"INFORMATION CONTROL COMPANY, LLC",COLUMBUS,OHIO,UNITED STATES OF AMERICA,INDIA,DUBLIN,Master's,OHIO,Columbus,OHIO
ONLINE,03-03-2015,04-03-2015,Withdrawn,H-1B,"INFORMATION CONTROL COMPANY, LLC",COLUMBUS,OHIO,UNITED STATES OF AMERICA,INDIA,WESTERVILLE,Bachelor's,OHIO,Columbus,OHIO
ONLINE,24-02-2015,22-09-2015,Certified,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,DENVER,Master's,COLORADO,College Station,TEXAS
ONLINE,08-12-2014,18-06-2015,Certified,H-1B,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,COLLEGE STATION,TEXAS,UNITED STATES OF AMERICA,INDIA,MADISON,Bachelor's,WISCONSIN,College Station,TEXAS
ONLINE,14-01-2015,04-08-2015,Certified,L-1,TERUMO BCT,LAKEWOOD,COLORADO,UNITED STATES OF AMERICA,BRAZIL,DENVER,Bachelor's,COLORADO,Lakewood,COLORADO
ONLINE,03-12-2014,30-07-2015,Certified,H-1B,"ZIPREALTY, INC.",EMERYVILLE,CALIFORNIA,UNITED STATES OF AMERICA,INDIA,PLEASANTON,Master's,CALIFORNIA,Emeryville,CALIFORNIA
ONLINE,13-01-2015,08-06-2015,Withdrawn,H-1B,BARCLAYS BANK PLC,NEW YORK,NEW YORK,UNITED STATES OF AMERICA,CHINA,FOREST HILLS,Doctorate,NEW YORK,New York,NEW YORK
ONLINE,09-01-2015,10-08-2015,Certified,H-1B,"Sun Pharmaceutical Industries, Inc.",Cranbury,NEW JERSEY,UNITED STATES OF AMERICA,INDIA,EAST WINDSOR,Bachelor's,NEW JERSEY,Cranbury,NEW JERSEY
